Freq(Hz), SPL(dB), Phase(degrees)
124.146, 68.934, -40.371
124.512, 68.914, -40.447
124.878, 68.894, -40.522
125.244, 68.875, -40.597
125.610, 68.855, -40.672
125.977, 68.835, -40.745
126.343, 68.815, -40.818
126.709, 68.796, -40.891
127.075, 68.776, -40.963
127.441, 68.756, -41.035
127.808, 68.737, -41.105
128.174, 68.717, -41.176
128.540, 68.698, -41.245
128.906, 68.678, -41.314
129.272, 68.659, -41.384
129.639, 68.640, -41.453
130.005, 68.621, -41.521
130.371, 68.601, -41.590
130.737, 68.582, -41.657
131.104, 68.563, -41.724
131.470, 68.544, -41.789
131.836, 68.525, -41.854
132.202, 68.506, -41.919
132.568, 68.487, -41.984
132.935, 68.468, -42.049
133.301, 68.449, -42.113
133.667, 68.430, -42.177
134.033, 68.411, -42.240
134.399, 68.393, -42.302
134.766, 68.374, -42.365
135.132, 68.355, -42.426
135.498, 68.337, -42.487
135.864, 68.318, -42.548
136.230, 68.299, -42.608
136.597, 68.281, -42.668
136.963, 68.263, -42.727
137.329, 68.244, -42.786
137.695, 68.226, -42.844
138.062, 68.208, -42.902
138.428, 68.189, -42.959
138.794, 68.171, -43.017
139.160, 68.153, -43.074
139.526, 68.135, -43.131
139.893, 68.117, -43.188
140.259, 68.099, -43.245
140.625, 68.081, -43.300
140.991, 68.063, -43.355
141.357, 68.045, -43.409
141.724, 68.027, -43.462
142.090, 68.009, -43.516
142.456, 67.991, -43.570
142.822, 67.973, -43.624
143.188, 67.956, -43.677
143.555, 67.938, -43.729
143.921, 67.920, -43.781
144.287, 67.903, -43.832
144.653, 67.885, -43.884
145.020, 67.867, -43.935
145.386, 67.850, -43.986
145.752, 67.833, -44.036
146.118, 67.815, -44.085
146.484, 67.798, -44.135
146.851, 67.781, -44.184
147.217, 67.763, -44.233
147.583, 67.746, -44.281
147.949, 67.729, -44.329
148.315, 67.712, -44.375
148.682, 67.695, -44.422
149.048, 67.678, -44.469
149.414, 67.661, -44.517
149.780, 67.644, -44.566
150.146, 67.627, -44.614
150.513, 67.610, -44.660
150.879, 67.592, -44.705
151.245, 67.575, -44.747
151.611, 67.559, -44.790
151.978, 67.542, -44.834
152.344, 67.525, -44.879
152.710, 67.509, -44.923
153.076, 67.492, -44.967
153.442, 67.475, -45.010
153.809, 67.458, -45.052
154.175, 67.442, -45.095
154.541, 67.426, -45.137
154.907, 67.409, -45.180
155.273, 67.393, -45.222
155.640, 67.376, -45.264
156.006, 67.360, -45.305
156.372, 67.343, -45.346
156.738, 67.327, -45.387
157.104, 67.311, -45.427
157.471, 67.295, -45.467
157.837, 67.278, -45.507
158.203, 67.262, -45.547
158.569, 67.246, -45.586
158.936, 67.230, -45.625
159.302, 67.214, -45.664
159.668, 67.198, -45.702
160.034, 67.182, -45.740
160.400, 67.166, -45.778
160.767, 67.150, -45.816
161.133, 67.134, -45.853
161.499, 67.118, -45.890
161.865, 67.103, -45.926
162.231, 67.087, -45.963
162.598, 67.071, -45.999
162.964, 67.056, -46.035
163.330, 67.040, -46.071
163.696, 67.024, -46.107
164.062, 67.009, -46.142
164.429, 66.993, -46.177
164.795, 66.977, -46.211
165.161, 66.962, -46.245
165.527, 66.947, -46.280
165.894, 66.931, -46.314
166.260, 66.916, -46.348
166.626, 66.900, -46.382
166.992, 66.885, -46.415
167.358, 66.870, -46.448
167.725, 66.854, -46.481
168.091, 66.839, -46.513
168.457, 66.824, -46.546
168.823, 66.809, -46.578
169.189, 66.794, -46.610
169.556, 66.779, -46.642
169.922, 66.763, -46.673
170.288, 66.748, -46.704
170.654, 66.733, -46.735
171.021, 66.718, -46.766
171.387, 66.703, -46.796
171.753, 66.689, -46.827
172.119, 66.674, -46.857
172.485, 66.659, -46.887
172.852, 66.644, -46.917
173.218, 66.629, -46.947
173.584, 66.615, -46.976
173.950, 66.600, -47.005
174.316, 66.585, -47.034
174.683, 66.571, -47.063
175.049, 66.556, -47.091
175.415, 66.541, -47.119
175.781, 66.527, -47.147
176.147, 66.512, -47.175
176.514, 66.498, -47.203
176.880, 66.483, -47.230
177.246, 66.469, -47.257
177.612, 66.455, -47.284
177.979, 66.440, -47.311
178.345, 66.426, -47.337
178.711, 66.412, -47.364
179.077, 66.398, -47.391
179.443, 66.383, -47.417
179.810, 66.369, -47.443
180.176, 66.355, -47.469
180.542, 66.341, -47.494
180.908, 66.326, -47.519
181.274, 66.312, -47.544
181.641, 66.298, -47.569
182.007, 66.284, -47.594
182.373, 66.270, -47.618
182.739, 66.256, -47.643
183.105, 66.242, -47.667
183.472, 66.229, -47.691
183.838, 66.215, -47.715
184.204, 66.201, -47.739
184.570, 66.187, -47.763
184.937, 66.173, -47.786
185.303, 66.159, -47.809
185.669, 66.146, -47.832
186.035, 66.132, -47.855
186.401, 66.118, -47.878
186.768, 66.105, -47.900
187.134, 66.091, -47.922
187.500, 66.078, -47.944
187.866, 66.064, -47.967
188.232, 66.050, -47.989
188.599, 66.037, -48.012
188.965, 66.023, -48.033
189.331, 66.010, -48.055
189.697, 65.996, -48.075
190.063, 65.983, -48.096
190.430, 65.970, -48.117
190.796, 65.956, -48.138
191.162, 65.943, -48.159
191.528, 65.930, -48.179
191.895, 65.917, -48.199
192.261, 65.903, -48.219
192.627, 65.890, -48.239
192.993, 65.877, -48.259
193.359, 65.864, -48.279
193.726, 65.851, -48.298
194.092, 65.838, -48.318
194.458, 65.825, -48.337
194.824, 65.812, -48.356
195.190, 65.799, -48.374
195.557, 65.786, -48.393
195.923, 65.773, -48.412
196.289, 65.760, -48.431
196.655, 65.747, -48.450
197.021, 65.734, -48.469
197.388, 65.721, -48.487
197.754, 65.708, -48.505
198.120, 65.695, -48.524
198.486, 65.682, -48.542
198.853, 65.669, -48.560
199.219, 65.656, -48.577
199.585, 65.643, -48.591
199.951, 65.631, -48.605
200.317, 65.619, -48.620
200.684, 65.606, -48.637
201.050, 65.594, -48.656
201.416, 65.582, -48.675
201.782, 65.569, -48.693
202.148, 65.556, -48.710
202.515, 65.544, -48.725
202.881, 65.531, -48.741
203.247, 65.519, -48.757
203.613, 65.507, -48.773
203.979, 65.494, -48.789
204.346, 65.482, -48.805
204.712, 65.470, -48.819
205.078, 65.457, -48.834
205.444, 65.445, -48.849
205.811, 65.433, -48.865
206.177, 65.421, -48.880
206.543, 65.408, -48.895
206.909, 65.396, -48.909
207.275, 65.384, -48.923
207.642, 65.372, -48.938
208.008, 65.360, -48.953
208.374, 65.348, -48.968
208.740, 65.336, -48.983
209.106, 65.324, -48.996
209.473, 65.311, -49.010
209.839, 65.299, -49.022
210.205, 65.288, -49.035
210.571, 65.276, -49.049
210.938, 65.264, -49.062
211.304, 65.252, -49.076
211.670, 65.240, -49.090
212.036, 65.228, -49.103
212.402, 65.217, -49.116
212.769, 65.205, -49.129
213.135, 65.193, -49.142
213.501, 65.181, -49.155
213.867, 65.170, -49.167
214.233, 65.158, -49.180
214.600, 65.146, -49.192
214.966, 65.135, -49.204
215.332, 65.123, -49.216
215.698, 65.111, -49.228
216.064, 65.100, -49.240
216.431, 65.088, -49.252
216.797, 65.077, -49.264
217.163, 65.065, -49.276
217.529, 65.054, -49.288
217.896, 65.042, -49.299
218.262, 65.031, -49.310
218.628, 65.019, -49.321
218.994, 65.008, -49.332
219.360, 64.996, -49.343
219.727, 64.985, -49.354
220.093, 64.974, -49.365
220.459, 64.962, -49.376
220.825, 64.951, -49.386
221.191, 64.940, -49.397
221.558, 64.928, -49.407
221.924, 64.917, -49.417
222.290, 64.906, -49.427
222.656, 64.895, -49.437
223.022, 64.884, -49.447
223.389, 64.873, -49.457
223.755, 64.862, -49.468
224.121, 64.850, -49.477
224.487, 64.839, -49.487
224.854, 64.828, -49.496
225.220, 64.817, -49.505
225.586, 64.806, -49.515
225.952, 64.795, -49.524
226.318, 64.784, -49.534
226.685, 64.773, -49.543
227.051, 64.762, -49.552
227.417, 64.752, -49.561
227.783, 64.741, -49.570
228.149, 64.730, -49.579
228.516, 64.719, -49.589
228.882, 64.708, -49.598
229.248, 64.697, -49.607
229.614, 64.687, -49.615
229.980, 64.676, -49.623
230.347, 64.665, -49.631
230.713, 64.654, -49.639
231.079, 64.644, -49.647
231.445, 64.633, -49.656
231.812, 64.622, -49.664
232.178, 64.612, -49.672
232.544, 64.601, -49.680
232.910, 64.591, -49.687
233.276, 64.580, -49.695
233.643, 64.570, -49.702
234.009, 64.559, -49.709
234.375, 64.549, -49.717
234.741, 64.538, -49.724
235.107, 64.528, -49.732
235.474, 64.517, -49.739
235.840, 64.507, -49.746
236.206, 64.496, -49.752
236.572, 64.486, -49.759
236.938, 64.476, -49.766
237.305, 64.465, -49.774
237.671, 64.455, -49.781
238.037, 64.444, -49.787
238.403, 64.434, -49.794
238.770, 64.424, -49.800
239.136, 64.414, -49.806
239.502, 64.403, -49.813
239.868, 64.393, -49.819
240.234, 64.383, -49.826
240.601, 64.373, -49.831
240.967, 64.363, -49.837
241.333, 64.353, -49.843
241.699, 64.343, -49.849
242.065, 64.333, -49.856
