Freq(Hz), SPL(dB), Phase(degrees)
203.247, 65.583, -49.104
203.613, 65.570, -49.120
203.979, 65.558, -49.135
204.346, 65.545, -49.150
204.712, 65.533, -49.165
205.078, 65.521, -49.180
205.444, 65.509, -49.194
205.811, 65.496, -49.209
206.177, 65.484, -49.224
206.543, 65.472, -49.239
206.909, 65.460, -49.253
207.275, 65.448, -49.267
207.642, 65.435, -49.280
208.008, 65.423, -49.294
208.374, 65.411, -49.308
208.740, 65.399, -49.323
209.106, 65.387, -49.336
209.473, 65.375, -49.350
209.839, 65.363, -49.362
210.205, 65.351, -49.375
210.571, 65.339, -49.387
210.938, 65.327, -49.400
211.304, 65.315, -49.414
211.670, 65.304, -49.427
212.036, 65.292, -49.440
212.402, 65.280, -49.453
212.769, 65.268, -49.465
213.135, 65.256, -49.477
213.501, 65.244, -49.489
213.867, 65.233, -49.502
214.233, 65.221, -49.514
214.600, 65.209, -49.526
214.966, 65.197, -49.538
215.332, 65.186, -49.549
215.698, 65.174, -49.561
216.064, 65.163, -49.572
216.431, 65.151, -49.584
216.797, 65.139, -49.595
217.163, 65.128, -49.606
217.529, 65.116, -49.617
217.896, 65.105, -49.628
218.262, 65.094, -49.639
218.628, 65.082, -49.650
218.994, 65.071, -49.661
219.360, 65.059, -49.672
219.727, 65.048, -49.683
220.093, 65.037, -49.693
220.459, 65.025, -49.703
220.825, 65.014, -49.713
221.191, 65.003, -49.723
221.558, 64.991, -49.733
221.924, 64.980, -49.743
222.290, 64.969, -49.753
222.656, 64.958, -49.763
223.022, 64.947, -49.773
223.389, 64.936, -49.782
223.755, 64.924, -49.792
224.121, 64.913, -49.801
224.487, 64.902, -49.811
224.854, 64.891, -49.820
225.220, 64.880, -49.830
225.586, 64.869, -49.839
225.952, 64.858, -49.848
226.318, 64.847, -49.856
226.685, 64.836, -49.865
227.051, 64.825, -49.873
227.417, 64.814, -49.881
227.783, 64.803, -49.890
228.149, 64.793, -49.898
228.516, 64.782, -49.906
228.882, 64.771, -49.914
229.248, 64.760, -49.923
229.614, 64.749, -49.932
229.980, 64.739, -49.940
230.347, 64.728, -49.949
230.713, 64.717, -49.956
231.079, 64.706, -49.964
231.445, 64.695, -49.971
231.812, 64.685, -49.979
232.178, 64.674, -49.987
232.544, 64.664, -49.995
232.910, 64.653, -50.002
233.276, 64.642, -50.009
233.643, 64.632, -50.017
234.009, 64.621, -50.024
234.375, 64.611, -50.031
234.741, 64.600, -50.038
235.107, 64.590, -50.045
235.474, 64.579, -50.052
235.840, 64.569, -50.059
236.206, 64.559, -50.066
236.572, 64.548, -50.072
236.938, 64.538, -50.079
237.305, 64.527, -50.085
237.671, 64.517, -50.092
238.037, 64.507, -50.098
238.403, 64.496, -50.104
238.770, 64.486, -50.109
239.136, 64.476, -50.115
239.502, 64.466, -50.121
239.868, 64.456, -50.127
240.234, 64.445, -50.134
240.601, 64.435, -50.140
240.967, 64.425, -50.145
241.333, 64.414, -50.150
241.699, 64.404, -50.155
242.065, 64.394, -50.160
242.432, 64.384, -50.166
242.798, 64.374, -50.172
243.164, 64.364, -50.178
243.530, 64.354, -50.183
243.896, 64.344, -50.188
244.263, 64.334, -50.192
244.629, 64.324, -50.197
244.995, 64.314, -50.202
245.361, 64.304, -50.208
245.728, 64.294, -50.213
246.094, 64.285, -50.218
246.460, 64.275, -50.223
246.826, 64.265, -50.227
247.192, 64.255, -50.232
247.559, 64.245, -50.236
247.925, 64.235, -50.241
248.291, 64.225, -50.245
248.657, 64.216, -50.250
249.023, 64.206, -50.255
249.390, 64.196, -50.260
249.756, 64.186, -50.263
250.122, 64.176, -50.267
250.488, 64.167, -50.270
250.854, 64.157, -50.273
251.221, 64.148, -50.277
251.587, 64.138, -50.282
251.953, 64.129, -50.288
252.319, 64.119, -50.293
252.686, 64.109, -50.296
253.052, 64.100, -50.299
253.418, 64.090, -50.302
253.784, 64.081, -50.304
254.150, 64.071, -50.308
254.517, 64.062, -50.312
254.883, 64.053, -50.317
255.249, 64.043, -50.321
255.615, 64.033, -50.324
255.981, 64.024, -50.327
256.348, 64.014, -50.329
256.714, 64.005, -50.332
257.080, 63.996, -50.335
257.446, 63.987, -50.339
